Giro,Nombre Comercial,Razón Social,Código Scian,Actividad,Tamaño,Calle,Número Exterior,Letra Exterior,Número Interior,Letra Interior,Colonia,Código Postal,Estado,Ciudad,Teléfono,Email,Página web
Hotelería y Restaurantes,EL RINCON DE DON DANIEL,,722512,Restaurantes con servicio de preparación de pescados y mariscos,0 a 5 personas,YUCATAN 17,0,SN,21,,JARDINES DEL NORTE,97139,Yucatán,Mérida,9991754128,ELRINCONDEDONDANIEL@OUTLOOK.COM,
Hotelería y Restaurantes,EL TACO ARABE,,722514,Restaurantes con servicio de preparación de tacos y tortas,11 a 30 personas,YUCATAN 17,0,SN,24,,JARDINES DEL NORTE,97139,Yucatán,Mérida,9995446822,TACOARABEBRISAS@GMAIL.COM,
Hotelería y Restaurantes,FROZZY SHOP,,722519,Servicios de preparación de otros alimentos para consumo inmediato,0 a 5 personas,YUCATAN 17,24496,,,,CHOLUL,97305,Yucatán,Mérida,9994700279,FROZZYSHOP@ICLOUD.COM,
Hotelería y Restaurantes,HAMBRITO GRILL,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,YUCATAN 17,0,SN,0,,CHOLUL,97305,Yucatán,Mérida,,,
Hotelería y Restaurantes,ICE PIRATA,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,YUCATAN 17,0,SN,,,JARDINES DEL NORTE,97139,Yucatán,Mérida,,,
Hotelería y Restaurantes,KAIROS FIT BAR,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,YUCATAN 17,0,SN,,,LA FLORIDA,97318,Yucatán,Mérida,9992438532,,
Hotelería y Restaurantes,KUEN YUEN,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,YUCATAN 17,310,,0,,LA FLORIDA,97138,Yucatán,Mérida,,,
Hotelería y Restaurantes,LA COCINA DE ELILU,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,YUCATAN 17,252,,,,CHOLUL,97305,Yucatán,Mérida,9842076404,,
Hotelería y Restaurantes,LA TROVA COMIDA TRADICIONAL,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,6 a 10 personas,YUCATAN 17,0,SN,126,,JARDINES DEL NORTE,97139,Yucatán,Mérida,9991273957,LATROVAMID@GMAIL.COM,
Hotelería y Restaurantes,LOS BENES KADUS,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,YUCATAN 17,0,SN,,,LA FLORIDA,97318,Yucatán,Mérida,9999115450,,
Hotelería y Restaurantes,LOS PESCADOS DEL KRIBE,GRUPO MD RESTAURANTERO DEL SURESTE SA DE CV,722512,Restaurantes con servicio de preparación de pescados y mariscos,6 a 10 personas,YUCATAN 17,0,SN,,,PINOS DEL NORTE,97139,Yucatán,Mérida,9994774729,LOSPESCADOSDELCARIBE@GMAIL.COM,
Hotelería y Restaurantes,LOS TACOS EL TIO KETO,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,YUCATAN 17,0,SN,,,JARDINES DEL NORTE,97139,Yucatán,Mérida,9994408350,GERARDONEGRO980@GMAIL.COM,
Hotelería y Restaurantes,OLIVA PIZZERIA,GRUPO OLIVA SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,YUCATAN 17,0,SN,,,LA FLORIDA,97138,Yucatán,Mérida,,,
Hotelería y Restaurantes,PAN ELENA VALES LA FLORIDA,PANES Y REPOSTERIA DE YUCATAN SA DE CV,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,YUCATAN 17,29,,,,LA FLORIDA,97318,Yucatán,Mérida,,ELENAVALESSUCFLORIDA@GMAIL.COM,WWW.ELENAVALES.COM
Hotelería y Restaurantes,PATOO ANTOJO,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",6 a 10 personas,YUCATAN 17,0,SN,,,PARAISO MAYA,97314,Yucatán,Mérida,9994585348,,
Hotelería y Restaurantes,PESCADOS Y MARISCOS NOHOCH KAY,,722512,Restaurantes con servicio de preparación de pescados y mariscos,0 a 5 personas,YUCATAN 17,375,,0,,LOS PINOS,97138,Yucatán,Mérida,9992897271,,
Hotelería y Restaurantes,PIZZA MESSINAS,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",11 a 30 personas,YUCATAN 17,0,SN,0,,FLORIDA NORTE,97138,Yucatán,Mérida,9995765622,CONTA.MESSINAS@GMAIL.COM,
Hotelería y Restaurantes,POLLO BRUJO,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,YUCATAN 17,0,SN,,,FLORIDA NORTE,97138,Yucatán,Mérida,,VIANEY_GUERRA@HOTMAIL.COM,
Hotelería y Restaurantes,POLLO POLLO,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,YUCATAN 17,252,,,,CHOLUL,97305,Yucatán,Mérida,,,
Hotelería y Restaurantes,POLLOS CCOSTILLAS Y ALITAS AL CARBON,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,YUCATAN 17,0,SN,2,,PARAISO MAYA,97134,Yucatán,Mérida,9999291735,JORGEABREU62@HOTMAIL.COM,
Hotelería y Restaurantes,POLLOS RODOS,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,YUCATAN 17,0,SN,,,PARAISO MAYA,97314,Yucatán,Mérida,9991026213,LIC.CLAUDIAPAREDES@GMAIL.COM,
Hotelería y Restaurantes,RESTAURAN PUERTA DEL MAR MARISCOS,,722512,Restaurantes con servicio de preparación de pescados y mariscos,0 a 5 personas,YUCATAN 17,0,SN,0,,PARAISO MAYA,97134,Yucatán,Mérida,,PUERTADEMAR1@GMAIL.COM,
Hotelería y Restaurantes,RESTAURANTE SWING PASTA,SWING PASTA SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,YUCATAN 17,204,,8,,SAN PEDRO CHOLUL,97138,Yucatán,Mérida,,,WWW.SWINGPASTA.COM
Hotelería y Restaurantes,TABOM,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,YUCATAN 17,0,SN,,,LA FLORIDA,97318,Yucatán,Mérida,9991372291,TABOMYUCATAN.ADM@GMAIL.COM,
Hotelería y Restaurantes,TAPIOCA FLAVORS,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,YUCATAN 17,0,SN,,,LOS PINOS,97138,Yucatán,Mérida,,,
Hotelería y Restaurantes,TBAR,PRULOPERADORES SAPI DE CV,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",6 a 10 personas,YUCATAN 17,0,SN,,,MAYA,97134,Yucatán,Mérida,,TBAR.MERIDA@GMAIL.COM,
Hotelería y Restaurantes,TERRITORIO SALVAJE,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,YUCATAN 17,584,,,,MAYA,97134,Yucatán,Mérida,9992494666,,
Hotelería y Restaurantes,TETIZ,,722512,Restaurantes con servicio de preparación de pescados y mariscos,0 a 5 personas,YUCATAN 17,0,SN,,,LA FLORIDA,97318,Yucatán,Mérida,9991157971,,
Hotelería y Restaurantes,TROPICANA ANGUS BAR,,722412,"Bares, cantinas y similares",6 a 10 personas,YUCATAN 17,5110,TABLAJE CATASTRAL,,,SAN PEDRO CHOLUL,97305,Yucatán,Mérida,,,
Hotelería y Restaurantes,UAYMAR,,722512,Restaurantes con servicio de preparación de pescados y mariscos,0 a 5 personas,YUCATAN 17,584,,6,,MAYA,97134,Yucatán,Mérida,9994114796,UAYMAR.CAINADEMAR@GMAIL.COM,
Hotelería y Restaurantes,WEEDING PLANER,,722320,Servicios de preparación de alimentos para ocasiones especiales,0 a 5 personas,YUCATAN 17,0,SN,,,LA FLORIDA NORTE,97138,Yucatán,Mérida,9994114735,CAROLINA.SOTOCOTE@GMAIL.COM,
Hotelería y Restaurantes,EL ORIGINAL MONTEJO PLAZA MALAK,NEGOCIOS MONTEJO SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,YUCATÁN (17),0,SN,,,JARDINES DEL NORTE,97138,Yucatán,Mérida,,GGEN@ELORIGINAL.COM.MX,WWW.ELORIGINALMONTEJO.COM
Hotelería y Restaurantes,LA GARNACHA AZTECA,,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,Yucatán (17),252,,6,,CHOLUL,97305,Yucatán,Mérida,9995298033,LAGARNACHAAZTECA@GMAIL.COM,WWW.ELANTOJOADOMICILIO.COM
Hotelería y Restaurantes,LITTLE CAESAR SUCURSAL AVENIDA YUCATAN,COMESTIBLES Y ALIMENTOS INTERNACIONALES SA DE CV,722516,Restaurantes de autoservicio,0 a 5 personas,YUCATÁN (17),258,A,,,LA FLORIDA,,Yucatán,Mérida,,CONTADOR@BERNY.COM.MX,
Hotelería y Restaurantes,EL CARNES DE MONTERREY,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,YUCATAN,0,SN,,,GUADALUPE,97305,Yucatán,Mérida,8183096782,,
Hotelería y Restaurantes,CAFETEC,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,VICTOR MANUEL CERVERA PACHECO,0,SN,0,,CIENEGA2000,97320,Yucatán,Progreso,9992210370,,
Hotelería y Restaurantes,CAFETERIA HOSPITAL GENERAL VALLADOLID,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,VICTOR MANUEL CERVERA PACHECO,,SN,1,,NINGUNO,97780,Yucatán,Valladolid,,,
Hotelería y Restaurantes,RESTAURANTE BOTANERO GARY,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,VICTOR MANUEL CERVERA PACHECO,0,SN,,,TABLAJE CATASTRAL,97782,Yucatán,Valladolid,,,
Hotelería y Restaurantes,CAFETERIA INTERIOR WEBHELP,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,VIA MONTEJO,,SN,,,REVOLUCION ZONA INDUSTRIAL,97204,Yucatán,Mérida,,,
Hotelería y Restaurantes,CLUB DE NUTRICION,,722519,Servicios de preparación de otros alimentos para consumo inmediato,0 a 5 personas,UNIVERSIDAD PEDAGOGICA,244,,,,SAN ANTONIO KAUA II,97195,Yucatán,Mérida,,,
Hotelería y Restaurantes,COCINA ECONOMICA NANCY,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,UNIVERSIDAD PEDAGOGICA,195,,0,,VERGEL II,97173,Yucatán,Mérida,9996458281,,
Hotelería y Restaurantes,EL POLCANAZO,,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,UNIVERSIDAD PEDAGOGICA,272,,0,,SAN ANTONIO KAUA II,97195,Yucatán,Mérida,,,
Hotelería y Restaurantes,HAMBURGUESAS BUEGER RIN,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,UNIVERSIDAD PEDAGOGICA,0,SN,,,SAN ANTONIO KAUA II,97195,Yucatán,Mérida,,,
Hotelería y Restaurantes,LONCHERIA,,722514,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,UNIVERSIDAD PEDAGOGICA,0,SN,,,SAN ANTONIO KAUA II,97195,Yucatán,Mérida,,,
Hotelería y Restaurantes,LOS DOS CARNALES,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,UNIVERSIDAD PEDAGOGICA,,SN,,,SAN ANTONIO KAUA II,97195,Yucatán,Mérida,9992392430,,
Hotelería y Restaurantes,POLLERIA POLLO SABROSO,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",0 a 5 personas,UNIVERSIDAD PEDAGOGICA,569,,0,,VERGEL II,97173,Yucatán,Mérida,,,
Hotelería y Restaurantes,POLLOS ASADOS DOÑA MARIA,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",6 a 10 personas,UNIVERSIDAD PEDAGOGICA,0,SN,0,,SAN ANTONIO KAUA II,97195,Yucatán,Mérida,,,
Hotelería y Restaurantes,TAQUERIA CARNITAS DOÑA MESTIZA,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,UNIVERSIDAD PEDAGOGICA,199,,,,SAN ANTONIO KAUA II,97195,Yucatán,Mérida,,,
Hotelería y Restaurantes,TAQUERIA EL HUERO,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,UNIVERSIDAD PEDAGOGICA,,SN,,,VERGEL II,97173,Yucatán,Mérida,,,
Hotelería y Restaurantes,TAQUERIA EL PALENQUE,,722514,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,UNIVERSIDAD PEDAGOGICA,0,SN,,,VERGEL II,97173,Yucatán,Mérida,,,
Hotelería y Restaurantes,TAQUERIA PALENQUE,,722514,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,UNIVERSIDAD PEDAGOGICA,0,SN,,,VERGEL III,97173,Yucatán,Mérida,9993620357,,
Hotelería y Restaurantes,CAFETERIA NICO Y NATI,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,TECNOLOGICO 60,0,SN,,,FELIPE CARRILLO PUERTO,97208,Yucatán,Mérida,,,
Hotelería y Restaurantes,COMER ES UN PLACER,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,TECNOLOGICO 60,0,SN,20,,FELIPE CARRILO PUERTO,97200,Yucatán,Mérida,9991255232,RESTAURANTEXIAOMID@GMAIL.COM,
Hotelería y Restaurantes,DAIRY QUEEN,RM GLOBAL GROUP SA DE CV,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",6 a 10 personas,TECNOLOGICO 60,0,SN,,,FELIPE CARRILLO PUERTO,97208,Yucatán,Mérida,9994007402,,
Hotelería y Restaurantes,SUSHINGAZO,SUSHINGAZO SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,TECNOLOGICO 60,0,SN,,,FELIPE CARRILLO PUERTO,97208,Yucatán,Mérida,9997469457,,
Hotelería y Restaurantes,ITALIAN COFFEE 60 NORTE,ADMINISTRADORA ITALCO SA DE CV,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,TECNOLÓGICO (60),77,,,,FELIPE CARRILLO PUERTO CHUBURNA,97200,Yucatán,Mérida,,LOURDESGAHONA@YAHOO.COM.MX,WWW.ITALIACOFFEE.COM
Hotelería y Restaurantes,LA COCINA DE MAMU,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,Tecnológico (60),352,B,,,PLAN DE AYALA,97118,Yucatán,Mérida,,,
Hotelería y Restaurantes,TECHNOTEL SAN BENITO BEACH,TURISTICA DIVERTRONIK SA DE CV,721111,Hoteles con otros servicios integrados,0 a 5 personas,Techno,,S/N,,,CHUBURNA,,Yucatán,Dzemul,9991067841,GERENCIABEACH@TECHNOTEL.MX,TECHNOTELBEACH.COM.MX
Hotelería y Restaurantes,HOTEL UXMAL RESORT MAYA,CORPORATIVO A Y A SA DE CV,721111,Hoteles con otros servicios integrados,0 a 5 personas,TABLAJE RUSTICO 1583 CARRETERA MERIDA CAMPECHE KM 78,,KM 78,,,UXMAL,97890,Yucatán,Muna,,JOHNNYPAN@MAYALAND.COM,WWW.UXMALRESORTMAYA.COM
Hotelería y Restaurantes,CAFFENIO BODEGA MERIDA 2,SERVICIOS ADMINISTRATIVOS OSLO SA DE CV,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,TABLAJE CATASTRAL,31372,,16,,DZITYA,,Yucatán,Mérida,,LEONARDO.CHAVEZ@CAFFENIO.COM,WWW.CAFFENIO.COM
Hotelería y Restaurantes,CAFFENIO MERIDA,SERVICIOS ADMINISTRATIVOS OSLO SA DE CV,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,TABLAJE CATASTRAL,31372,,16,,GARCIA GINERES,,Yucatán,Mérida,6622890763,,
Hotelería y Restaurantes,LOS HERMANOS CHABLE,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,SHUTAN MEDINA C,141,,1,,MONTECRISTO,97133,Yucatán,Mérida,,,
Hotelería y Restaurantes,PESCADERIA Y COCINA PEZ Y MAR,,722512,Restaurantes con servicio de preparación de pescados y mariscos,6 a 10 personas,SHUTAN MEDINA C,141,,2,,MONTECRISTO,97133,Yucatán,Mérida,,,
Hotelería y Restaurantes,SHAOLIN ORIENTAL FOOD,SHAOLIN ORIENTAL FOOD SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,SHUTAN MEDINA C,168,,5,,MONTECRISTO,97133,Yucatán,Mérida,9999448800,,
Hotelería y Restaurantes,SILVER FISH,,722512,Restaurantes con servicio de preparación de pescados y mariscos,11 a 30 personas,SHUTAN MEDINA C,0,SN,7,,MONTECRSTO,97133,Yucatán,Mérida,,,
Hotelería y Restaurantes,MCCARTHYS CAUCEL,FREE AND GREEN SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,SAN PEDRO,40353,,,,CIUDAD CAUCEL MERIDA,97314,Yucatán,Mérida,,GCONTABILIDAD@FREEANDGREEN.MX,WWW.GRUPOFREEANDGREEN.COM.MX
Hotelería y Restaurantes,JUGOS NUTRITIVOS EL OASIS FRUTAL,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,ROMULO ROZO 58 A,486,A,,,ITZIMNA,97100,Yucatán,Mérida,9996037020,ELOASISFRUTAL201O@GMAIL.COM,
Hotelería y Restaurantes,LONCHERIA MARIA ELENA,,722514,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,ROMULO ROZO 58 A,487,C,,,ITZIMNA,97100,Yucatán,Mérida,9999475648,MARIAELENAITZIMNA@PRODIGY.NET.MX,
Hotelería y Restaurantes,TAMALES MONTEJO,,722519,Servicios de preparación de otros alimentos para consumo inmediato,0 a 5 personas,ROMULO ROZO 58 A,476,,2,,ITZIMNA,97100,Yucatán,Mérida,9995322916,,
Hotelería y Restaurantes,KUUK,ADMINISTRACION DE EMPRESAS DEL SUR SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,ROMULO ROZO (58 A),488,,0,,ITZIMNA,97100,Yucatán,Mérida,,CONTABILIDAD@GRUPOAESSA.COM,
Hotelería y Restaurantes,ANTOJITOS DOÑA MARI,,722513,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,RICARDO EL VATE LOPEZ MENDEZ 6,299,,0,,UNIDAD H REVOLUCION CORDEMEX,97110,Yucatán,Mérida,9997393365,,
Hotelería y Restaurantes,ARCADE GAME BAR,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,,,REVOLUCION,97115,Yucatán,Mérida,9999531240,,
Hotelería y Restaurantes,BASTA PASTA,CS SINERGO SAPI DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,,,REVOLUCION,97115,Yucatán,Mérida,,,
Hotelería y Restaurantes,CAFE SEGAS,CAFE SEGAS SA DE CV,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",11 a 30 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,193,,REVOLUCION,97115,Yucatán,Mérida,,,
Hotelería y Restaurantes,CARLS JR,MEX BURGER SA DE CV,722516,Restaurantes de autoservicio,11 a 30 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,311,,REVOLUCION,97115,Yucatán,Mérida,,CONTABILIDAD@CARLSJRMERIDA.COM,WWW.CARLSJR.COM.MX
Hotelería y Restaurantes,COCINA ECONOMICA LA MESTIZA,,722518,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,,,UNIDAD H REVOLUCION CORDEMEX,97110,Yucatán,Mérida,9993045743,MARIANAPUGA53@GMAIL.COM,
Hotelería y Restaurantes,CUCARAMACARA,,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",0 a 5 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,,,REVOLUCION,97115,Yucatán,Mérida,,,
Hotelería y Restaurantes,LA CREPERIA,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,,,REVOLUCION,97115,Yucatán,Mérida,,,
Hotelería y Restaurantes,LA TOSCANA,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,,,REVOLUCION,97115,Yucatán,Mérida,,,
Hotelería y Restaurantes,LONG CHENG,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,,,REVOLUCION,97115,Yucatán,Mérida,,,
Hotelería y Restaurantes,LOS TAQUITOS DE PM,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,,,REVOLUCION,97115,Yucatán,Mérida,,CONTABILIDAD@LOSTAQUITOSDEPM.COM,WWW.LOSTAQUITOSDEPM.COM
Hotelería y Restaurantes,MESSINAS,,722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",6 a 10 personas,RICARDO EL VATE LOPEZ MENDEZ 6,0,SN,,,UNIDAD H REVOLUCION CORDEMEX,97110,Yucatán,Mérida,,CDXMESSINAS@HOTMAIL.COM,WWW.MESSINASPIZZA.COM
Hotelería y Restaurantes,ROSSATI,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,,,REVOLUCION,97115,Yucatán,Mérida,,ROSSATIMX@GMAIL.COM,
Hotelería y Restaurantes,SUBWAY,MID PROYECTOS SA DE CV,722516,Restaurantes de autoservicio,6 a 10 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,,,REVOLUCION,97115,Yucatán,Mérida,,SUBWAY@YAHOO.COM,
Hotelería y Restaurantes,SUSHI ROLL,ITZA ROLL SA DE CV,722516,Restaurantes de autoservicio,31 a 50 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,216,,REVOLUCION,97115,Yucatán,Mérida,,GMERIDA@SUSHIROLL.MX,WWW.SUSHIROLL.COM.MX
Hotelería y Restaurantes,TAQUERIA TACOSTUMBRAS,,722514,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,RICARDO EL VATE LOPEZ MENDEZ 6,0,SN,,,UNIDAD H REVOLUCION CORDEMEX,97110,Yucatán,Mérida,9993103371,,
Hotelería y Restaurantes,T-BAR GALERIAS,PRULOPERADORES SAPI DE CV,722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",6 a 10 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,,,REVOLUCION,97115,Yucatán,Mérida,,CONTACTO@TBAR.COM.MX,WWW.TBAR.COM.MX
Hotelería y Restaurantes,THE KINGDOM SHAKE,KINGDONG,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,11 a 30 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,,,REVOLUCION,97115,Yucatán,Mérida,,,
Hotelería y Restaurantes,TRUE HOSPITALITY,,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,RICARDO EL VATE LOPEZ MENDEZ 6,300,,0,,REVOLUCION,97115,Yucatán,Mérida,,,
Hotelería y Restaurantes,ALABAMA MAMMA GALERIAS,OPERADORA RESTAURANTERA GEMA SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,RICARDO EL VATE LÓPEZ MÉNDEZ (6),300,,,,REVOLUCION,97204,Yucatán,Mérida,,ALABAMA.GALERIAS@MCRED.COM.MX,
